游戏;玩偶;玩偶;手指伸进去表演的木偶，套在手指上表演的手套木偶;	轻工业、手工业;工艺美术制品工业;民间工艺美术制品;木偶制作;	建筑科学;建筑设计;工业建筑;构筑物;塔形、柱形等构筑物;烟囱;
化学;有机高分子化合物;高分子化合物;在高分子主链中形成的高分子化合物;	化学工业;高分子化合物工业（高聚物工业）;原料与辅助材料;合成高分子化合物;	汽车工程;汽车发动机;部件、零件;曲轴、飞轮及扭振减震器;
化学;有机高分子化合物;在高分子主链中形成含硅键合;聚硅氧烷;	化学;有机化学;元素有机化合物;第Ⅳ族元素有机化合物;硅有机化合物;硅氧烷;	医药、卫生;临床医学;治疗学;物理疗法、自然疗法;电疗法、磁疗法;
化学;染料;涂料;有机染料或用于制造染料的有关化合物;活性染料;	工业技术;化学工业;染料及中间体工业;各种性能的合成染料;活性染料;	轻工业、手工业;纺织工业、染整工业;非织造布;各类非织造布;针刺法非织造布;
化学;冶金;无机化学;碱金属，即钠、钾的化合物;钠、钾或一般碱金属的硝酸盐;	化学工业;金属元素的无机化合物化学工业;碱金属元素的无机化合物;钠的无机化合物;	航空、航天;航空;航空器结构力学;结构分析与计算;机身;
化学;冶金;有机化学;有机化学的一般方法;所用的装置;卤化;	化学工业;一般性问题;化学反应过程;一般化学反应过程;卤化、卤化剂;	无线电电子学、电信技术;基本电子电路;脉冲技术、脉冲电路;脉冲的产生、脉冲发生器;间歇振荡器;
化学;冶金;铁的冶金;铁或钢的冶炼;高炉用热风炉;砖砌热风炉;	工业技术;冶金工业;炼铁;炼铁炉（高炉）;热风炉;砌筑、维修;	机械、仪表工业;机械零件及传动装置;转动机件;轴承;滑动轴承;塑料滑动轴承;
化学;肥料;肥料制造;产生二氧化碳的肥料;其他无机肥料;	工业技术;化学工业;化学肥料工业;其他无机肥料;	轻工业、手工业;印刷工业;机械与设备;印刷设备;
化学;无机化学;非金属元素;其化合物;惰性气体;其化合物;	化学;无机化学;非金属元素及其化合物;零族元素、惰性气体;	矿业工程;矿山机械;采掘机械;露天矿采掘机械;
化学;有机化学;未知结构的化合物;抗菌素;	化学工业;农药工业;杀菌剂;抗菌素;	化学工业;硅酸盐工业;玻璃工业;各种玻璃产品;玻璃纤维;
化学;有机化学;无环或碳环化合物;制备卤代烃的方法;用卤素取代;	化学;有机化学;各类有机化合物;卤素衍生物、卤代烃;	工业技术;化学工业;农药工业;除草剂;无机除草剂;
化学;燃料;不包含在其他类目中的燃料;固体燃料;	化学工业;燃料化学工业;燃料种类及性质;固体燃料;	食品工业;制糖工业;各种糖的生产;麦芽糖;
冶金;铁的冶金;生铁的加工处理;生铁的精炼;铸铁;铸铁的冶炼;	工业技术;冶金工业;炼铁;炼铁产品;铸造生铁;可锻铸铁;	建筑科学;建筑施工;各种预制构件;板、楼板;
化学;炼焦工业;含一氧化碳的工业气体;焦油、焦油沥青的加工;焦油的加工;	工业技术;化学工业;炼焦化学工业;煤的高温干馏;化学产品加工;焦油粗加工及其产品;	公路运输;桥涵工程;各种桥梁;桥梁：按结构分;悬索桥;
化学;肥料;肥料制造;氮肥;含氰氨化钙或其他氰氨化物的肥料;	化学工业;化学肥料工业;氮肥;氰氨态氮肥;氰氨化钙;	交通运输;机车工程;各种用途机车;货运机车;
染料;涂料;填充浆料;基于无机物质的涂料组合物;水泥;	水利工程;水工材料;水泥、掺加料和外加剂;水泥;灌浆水泥;	农学（农艺学）;耕作学与有机农业;一般耕作技术;整地;
化学;有机化学;无环或碳环化合物;制备卤代烃的方法;用卤素取代;	基本有机化学工业;各类有机化合物的生产;卤素衍生物、卤代烃;	毛发、羽毛加工及制品;假发、假须、假睫毛;
化学;冶金;燃料;固体燃料;	冶金工业;冶金燃料与燃烧;固体燃料及燃烧;	工业技术;冶金工业;铁合金冶炼;各种铁合金冶炼;铬铁;
冶金;铁的冶金;生铁的加工处理;生铁的精炼;铸铁;球墨铸铁的冶炼;	工业技术;冶金工业;炼铁;炼铁产品;铸造生铁;球墨铸铁;	金属学与金属工艺;刀具、磨料、磨具、夹具、模具和手工具;刀具;铣刀;
化学;冶金;无机化学;氧化物;	化学;无机化学;化学元素与无机化合物;氧化物、过氧化物;	化学工业;染料及中间体工业;各种结构的合成染料;偶氮染料;双偶氮染料;
冶金;含一氧化碳的工业气体;燃料;乙炔的湿法生产;用储气罐自动调节给水的乙炔发生器;	工业技术;金属学与金属工艺;焊接、金属切割及金属粘接;焊接设备;气焊设备;乙炔发生器;	汽车工程;汽车发动机;往复式发动机;各种类型往复式发动机;气体燃料发动机;
化学;肥料;肥料制造;有机肥料;混合肥料;混合物制造的肥料;	化学工业;化学肥料工业;复合肥料（混合肥料）;其他混合肥料;	建筑科学;建筑施工;各项工程与工种;模板工程;各种模板;
化学;玻璃;玻璃的制造、成型;玻璃成型的其他方法;	化学工业;硅酸盐工业;玻璃工业;生产过程与设备;成型工艺;	铁路运输;铁路线路工程;线路构造;钢轨;钢轨润滑、钢轨喷油器;
化学;有机化学;杂环化合物;杂环化合物;	化学;有机化学;杂环化合物;七节杂环;	电工技术;发电、发电厂;配电设备和电气接线;开关设备;
合金或有色金属的处理;合金;含铜的;	五金制品工业;原材料及辅料;铜及铜合金;	体育;体操运动;竞技体操;平衡木;
合金或有色金属的处理;合金;含铜的;	金属材料;有色金属、稀有金属及其合金材料;铜及铜合金;	大气科学（气象学）;大气探测仪器及设备;湿度测定仪器;湿度计;
化学;有机化学;杂环化合物;杂环化合物，含六元环;	化学;有机化学;杂环化合物;含单异原子的六节杂环;	玩具制造工业;餐具、炊具、浴具;
化学;肥料;肥料制造;磷肥;用无机酸;用硝酸（硝基磷酸盐）;	工业技术;化学工业;化学肥料工业;磷肥;硝酸磷肥;	无线电电子学、电信技术;无线电设备、电信设备;终端设备;
化学;无机化学;非金属元素;其化合物;硼;其化合物;硼;硼化物;	化学工业;非金属元素及其无机化合物化学工业;硼及其无机化合物;硼;	建筑科学;建筑设计;房屋细部构造设计;烟囱;
化学;玻璃;釉或搪瓷釉的化学成分;搪瓷;釉;	化学工业;搪瓷工业;施釉;涂搪瓷方法和装饰方法;	基本电子电路;振荡技术、振荡器;振荡器;机械振荡器;
化学;无机化学;碱金属的卤化物;氟化物;	地质学;矿物学;矿物分类;卤化物;氟化物;	计算机技术;电子数字计算机;各种电子数字计算机;
化学;火柴;起爆或点火装置;化学点火具;点火剂;非电雷管;雷管;	化学工业;爆炸物工业、火柴工业;点火、点爆材料;雷管;	石油、天然气工业;石油机械设备与自动化;钻井机械设备;井架;
化学;有机化学;糖类;及其衍生物;糖化基团的化合物;单糖;	化学;有机化学;天然化合物;碳水化合物、糖;单糖及其衍生物;单糖;	力学;流体力学;普通流体力学;流体动力学;
化学;有机高分子化合物;其制备或化学加工;聚硫醚;	化学工业;聚合类树脂及塑料;聚醚类;聚硫醚;	机械、仪表工业;机械零件及传动装置;转动机件;轴承;滑动轴承;塑料滑动轴承;
化学;无机化学;金属铍的化合物;铍的化合物;	化学工业;金属元素的无机化合物化学工业;铍的无机化合物;	电工技术;电器;电阻器、电位器;固定电阻器;
化学;冶金;无机化学;金属镭的化合物;镭的化合物;	化学工业;金属元素的无机化合物化学工业;镭的无机化合物;	汽车工程;汽车发动机;旋转活塞式发动机;部件;密封结构;
化学;染料;有机染料或用于制造染料的有关化合物;靛类染料;	化学工业;染料及中间体工业;各种结构的合成染料;靛系染料;	能源与动力工程;内燃机;汽油机;构造;传动装置(驱动装置);
化学;动物或植物油、脂、脂肪物质或蜡;生产，例如通过压榨原材料或从废料中萃取;压榨法;	化学工业;油脂和蜡的化学加工工业、肥皂工业;生产工艺;植物油制备方法;压榨法取油;	工业技术;机械、仪表工业;泵;内燃泵;
化学;冶金;合金;非金属纤维或细丝;氧化物陶瓷纤维;	化学工业;化学纤维工业;无机纤维;矿物纤维;陶瓷纤维;	汽车工程;汽车发动机;往复式发动机;部件、零件;起动系统;电力起动;
化学;染料;有机染料或用于制造染料的有关化合物;双偶氮或多偶氮染料;双偶氮染料;	化学工业;染料及中间体工业;各种结构的合成染料;偶氮染料;四偶氮染料;	交通运输;公路运输;道路工程;道路养护与维修;路面的养护与维修;洒水、清扫、防尘;
化学;染料;有机染料或用于制造染料的有关化合物;双偶氮或多偶氮染料;三偶氮染料;	化学工业;染料及中间体工业;各种结构的合成染料;偶氮染料;三偶氮染料;	公路运输;汽车工程;汽车发动机;旋转活塞式发动机;部件;缸体、缸盖、活塞;
化学;染料;有机染料或用于制造染料的有关化合物;双偶氮或多偶氮染料;四偶氮染料;	化学工业;染料及中间体工业;各种结构的合成染料;偶氮染料;双偶氮染料;	化学工业;硅酸盐工业;玻璃工业;各种玻璃产品;玻璃纤维;
冶金;冶金;黑色或有色金属合金;合金或有色金属的处理;合金;铍基合金;	金属学与金属工艺;金属学;金属材料;有色金属及其合金;轻有色金属及其合金;铍;	化学工业;金属元素的无机化合物;铬副族;钼的无机化合物;
化学;玻璃;玻璃的制造;波纹或碎纹玻璃的制造;	化学工业;硅酸盐工业;玻璃工业;生产机械制造;	机械、仪表工业;机械零件及传动装置;转动机件;轴承;滑动轴承;塑料滑动轴承;
化学;有机高分子化合物;其制备或化学加工;虫胶;	化学工业;纤维素质的化学加工工业;虫胶工业;	轻工业、手工业;印刷工业;一般性问题;机械与设备;印刷设备;
化学;有机高分子化合物;其制备或化学加工;松香;	化学工业;油脂和蜡的化学加工工业;副产品加工及利用;松香;	轻工业、手工业;食品工业;乳品加工工业;各种乳制品;干酪;
冶金;覆层的电解或电泳生产工艺方法;工件的电解法接合;非金属电镀层;	金属学与金属工艺;金属表面处理;金属表面防护技术;金属复层保护;电镀法;	摄影技术;摄影机具与设备;摄影设备;摄影机;立体摄影机;
化学;有机高分子化合物;其制备或化学加工;无机酸纤维素酯的制备;硝酸纤维素;	化学工业;纤维素化学加工工业;生产工艺;硝酸纤维素酯（硝化纤维素）;	化学工业;金属元素的无机化合物化学工业;铍的无机化合物;
化学;多糖类;无机酸纤维素酯的制备;硝酸纤维素;	化学工业;化学纤维工业;再生纤维;硝酸纤维素纤维;	军事技术;武器、军用器材;炮兵武器;迫击炮;
冶金;乙炔的湿法生产;乙炔发生器的零部件;乙炔发生器的安全装置;	金属学与金属工艺;焊接、金属切割及金属粘接;焊接设备;气焊设备;乙炔发生器;	交通运输;公路运输;汽车工程;汽车结构部件;行走系统;车轮;轮毂;
化学;冶金;无机化学;金属的化合物;锗的化合物;	化学工业;金属元素的无机化合物化学工业;锗的无机化合物;	轻工业、手工业;印刷工业;凹版印刷;印版的制作;
化学;橡胶的处理或化学改性;橡胶胶乳的处理;胶乳的化学或物理处理;	化学工业;橡胶工业;一般性问题;橡胶及胶乳生产工艺;胶乳生产工艺;	化学;分析化学;元素及化合物的分离方法;物相分析;超离心机法;
化学;有机化学;杂环化合物;含有1个氮原子的六元环的杂环化合物;	化学;有机化学;杂环化合物;含单异原子的六节杂环;	建筑科学;建筑设计;房屋细部构造设计;墙、隔墙;
化学;黏合剂;动物胶或明胶的制备;明胶;	化学工业;胶粘剂工业;动物胶;明胶;	工业技术;矿业工程;矿山安全与劳动保护;矿井通风;通风管理与通风构筑物;
化学;有机化学;杂环化合物;杂环化合物，含七元环;	化学;化学;有机化学;杂环化合物;七节杂环;	五金制品工业;五金制品;日用五金制品;炉灶及灶具;
化学;晶体生长;单晶生长;冷凝气化物或材料挥发法的单晶生长;	化学;晶体学;晶体生长;晶体生长工艺;其他生长方法;	工业技术;冶金工业;炼铁;炼铁产品;铸造生铁;球墨铸铁;
化学;由矿物或矿渣制成的纤维的表面处理;矿物纤维，矿物棉;	化学工业;化学纤维工业;无机纤维;矿物纤维;石棉纤维;	建筑科学;建筑施工机械和设备;混凝土机械与设备;混凝土及砂浆搅拌机、搅拌车;砂浆搅拌机;
化学;玻璃;由玻璃制成的纤维的表面处理;玻璃纤维;	化学工业;硅酸盐工业;玻璃工业;各种玻璃产品;玻璃纤维;	计算机技术;计算技术、计算机技术;电子模拟计算机;运算放大器和控制器;运算放大器;
